67,"2022-01-11 11:00:00","2022-01-11 11:00:00","COPPA AGOSTONI","2023-09-28 11:00:00",NULL,1.1,"Corse Europe Tour"
68,"2022-01-11 11:00:00","2022-01-11 11:00:00","GIRO DELL'EMILIA","2023-09-30 11:00:00",NULL,1.PRO,"Corse Pro Series"
69,"2022-01-11 11:00:00","2022-01-11 11:00:00","COPPA BERNOCCHI","2023-10-02 11:00:00",NULL,1.PRO,"Corse Pro Series"
70,"2022-01-11 11:00:00","2022-01-11 11:00:00","SPARKASSEN MUNSTERLAND GIRO","2023-10-03 11:00:00",NULL,1.PRO,"Corse Pro Series"
71,"2022-01-11 11:00:00","2022-01-11 11:00:00","TRE VALLI VARESINE","2023-10-03 11:00:00",NULL,1.PRO,"Corse Pro Series"
72,"2022-01-11 11:00:00","2022-01-11 11:00:00","GRAN PIEMONTE","2023-10-05 11:00:00",NULL,1.PRO,"Corse Pro Series"
73,"2022-01-11 11:00:00","2022-01-11 11:00:00","GIRO DI LOMBARDIA","2023-10-07 11:00:00",NULL,1.UWT,"Corse World Tour "
74,"2022-01-11 11:00:00","2022-01-11 11:00:00",PARIS-TOURS,"2023-10-08 11:00:00",NULL,1.PRO,"Corse Pro Series"
75,"2022-01-11 11:00:00","2022-01-11 11:00:00","GIRO DEL VENETO","2023-10-11 11:00:00",NULL,1.1,"Corse Europe Tour"
76,"2022-01-11 11:00:00","2022-01-11 11:00:00","GREE-TOUR OF GUANGXI","2023-10-12 11:00:00","2023-10-17 11:00:00",1.UWT,"Corse World Tour "
77,"2022-01-11 11:00:00","2022-01-11 11:00:00","VENETO CLASSIC","2023-10-15 11:00:00",NULL,1.1,"Corse Europe Tour"
78,"2022-01-11 11:00:00","2022-01-11 11:00:00","JAPAN CUP CYCLE ROAD RACE","2023-10-15 11:00:00",NULL,1.PRO,"Corse Pro Series"
